file_name,device_serial,host_ip,iteration,mBands,ssRsrp,ssRsrq,ssSinr,level,mean_ssRsrp,mean_ssRsrq,mean_ssSinr
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,193,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,194,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,195,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,196,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,197,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,198,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,199,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,200,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,201,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,202,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,203,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,204,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,205,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,206,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,207,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,208,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,209,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,210,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,211,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,212,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,213,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,214,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,215,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,216,78,-54,-11,32,4,-54,-11,32
